timestamp,src_ip,dst_ip,dst_port,protocol,action,user,status,message
2026-09-10T09:00:00Z,10.0.0.21,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:00:00Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:00:18Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:00:36Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:00:54Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:01:12Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:01:30Z,10.0.0.22,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:01:30Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:01:48Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:02:06Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:02:24Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:02:42Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:03:00Z,10.0.0.23,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:03:00Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:03:18Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:03:36Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:03:54Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:04:12Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:04:30Z,10.0.0.24,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:04:30Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:04:48Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:05:06Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:05:24Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:05:42Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:06:00Z,10.0.0.25,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:06:00Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:06:18Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:06:36Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:06:54Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:07:12Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:07:30Z,10.0.0.21,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:07:30Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:07:48Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:08:06Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:08:24Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:08:42Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:09:00Z,10.0.0.22,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:09:00Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:09:18Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:09:36Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:09:54Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:10:12Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:10:30Z,10.0.0.23,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:10:30Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:10:48Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:11:06Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:11:24Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:11:42Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:12:00Z,10.0.0.24,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:12:00Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:12:18Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:12:36Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:12:54Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:13:12Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:13:30Z,10.0.0.25,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:13:30Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:13:48Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:14:06Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:14:24Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:14:42Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:15:00Z,10.0.0.21,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:15:00Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:15:18Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:15:36Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:15:54Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:16:12Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:16:30Z,10.0.0.22,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:16:30Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:16:48Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:17:06Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:17:24Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:17:42Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:18:00Z,10.0.0.23,10.0.0.5,443,TCP,allow,-,200,TLS connection to corporate web app
2026-09-10T09:18:00Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
2026-09-10T09:18:18Z,10.0.0.77,10.0.0.9,9200,TCP,allow,-,200,Elasticsearch health probe
